respondent_id,survey_wave,city_tier,region,vehicle_type,vehicle_age_years,e20_factory_compatible,monthly_fuel_spend_inr,experienced_mileage_drop,mileage_drop_bucket,experienced_repair_wear_increase,govt_e20_handling_sentiment,wants_e0_e10_choice_back,prior_awareness_of_separator_devices,price_point_shown_inr,purchase_likelihood_1to5,nps_0to10,preferred_payment_mode,primary_motivator,household_income_bucket
R100306,Wave 2 - Jul 2026,Tier-1,West,SUV,1.4,Yes,4780,No,None noticed,No,Positive,Yes,No,5999,1,3,One-time payment,Environmental/fuel-quality concern,₹6-10L
R100307,Wave 1 - Jul 2026,Tier-2,South,Two-wheeler,7.8,No,2508,Yes,10-15%,No,Ineffective,No,No,3999,3,4,One-time payment,Save money long-term vs additives,₹10-20L
R100308,Wave 2 - Jul 2026,Metro,North,Two-wheeler,1.5,No,1206,No,None noticed,No,Neutral/Mixed,No,No,3999,3,7,Subscription (device+cartridges bundled),Environmental/fuel-quality concern,₹6-10L
R100309,Wave 1 - Jul 2026,Metro,East,Hatchback,3.0,No,3619,Yes,15%+,Yes,Disastrous,Yes,No,4499,4,7,One-time payment,Environmental/fuel-quality concern,₹6-10L
R100310,Wave 1 - Jul 2026,Tier-1,North,Commercial/Fleet,2.9,No,23520,Yes,10-15%,Yes,Ineffective,Yes,Yes,4499,5,10,One-time payment,Environmental/fuel-quality concern,₹6-10L
R100311,Wave 2 - Jul 2026,Tier-1,North,Two-wheeler,2.5,Yes,2111,No,None noticed,No,Neutral/Mixed,Yes,No,3999,1,0,One-time payment,Not sure / still skeptical,₹3-6L
R100312,Wave 1 - Jul 2026,Metro,West,Two-wheeler,0.6,Yes,1842,No,None noticed,No,Ineffective,Yes,No,3999,4,7,One-time payment,Environmental/fuel-quality concern,₹6-10L
R100313,Wave 2 - Jul 2026,Tier-1,East,Two-wheeler,10.7,No,929,Yes,10-15%,Yes,Ineffective,No,No,3999,5,8,One-time payment,Restore lost mileage,₹6-10L
R100314,Wave 2 - Jul 2026,Tier-1,Central,SUV,0.7,Yes,8691,No,None noticed,No,Neutral/Mixed,No,No,5999,2,3,Subscription (device+cartridges bundled),Environmental/fuel-quality concern,₹3-6L
R100315,Wave 2 - Jul 2026,Tier-1,South,Two-wheeler,8.1,No,663,Yes,10-15%,Yes,Disastrous,No,Yes,4499,4,5,One-time payment,Protect engine/seals from damage,₹10-20L
R100316,Wave 2 - Jul 2026,Tier-1,North,Hatchback,1.7,Yes,5260,No,None noticed,No,Positive,No,No,3999,1,0,No-cost EMI (installments),Not sure / still skeptical,₹3-6L
R100317,Wave 1 - Jul 2026,Tier-2,Central,Commercial/Fleet,2.2,Yes,10030,No,None noticed,No,Neutral/Mixed,No,No,4499,3,6,No-cost EMI (installments),Environmental/fuel-quality concern,₹6-10L
R100318,Wave 1 - Jul 2026,Tier-1,North,Two-wheeler,7.7,No,1085,Yes,15%+,Yes,Ineffective,Yes,No,5999,3,5,No-cost EMI (installments),Protect engine/seals from damage,₹10-20L
R100319,Wave 2 - Jul 2026,Tier-3,North,Hatchback,4.6,No,4196,Yes,10-15%,No,Ineffective,No,No,5999,5,8,One-time payment,Save money long-term vs additives,<₹3L
R100320,Wave 1 - Jul 2026,Tier-3,South,Hatchback,1.1,Yes,4723,No,None noticed,No,Disastrous,Yes,No,3999,3,2,One-time payment,Not sure / still skeptical,₹3-6L
R100321,Wave 2 - Jul 2026,Tier-1,West,SUV,1.1,No,7601,No,None noticed,No,Neutral/Mixed,No,No,4499,3,5,No-cost EMI (installments),Not sure / still skeptical,₹6-10L
R100322,Wave 1 - Jul 2026,Tier-1,Central,Two-wheeler,4.1,No,1995,Yes,5-10%,Yes,Disastrous,No,No,3999,4,9,No-cost EMI (installments),Protect engine/seals from damage,<₹3L
R100323,Wave 1 - Jul 2026,Tier-1,East,Two-wheeler,1.4,No,1684,No,None noticed,Yes,Disastrous,Yes,No,3999,5,8,One-time payment,Not sure / still skeptical,₹3-6L
R100324,Wave 1 - Jul 2026,Tier-3,West,Two-wheeler,4.7,No,1653,Yes,10-15%,No,Ineffective,Yes,Yes,5999,1,3,Subscription (device+cartridges bundled),Not sure / still skeptical,₹10-20L
R100325,Wave 2 - Jul 2026,Tier-2,North,Sedan,5.0,No,3803,Yes,10-15%,Yes,Disastrous,No,No,5999,5,9,No-cost EMI (installments),Protect engine/seals from damage,<₹3L
R100326,Wave 1 - Jul 2026,Tier-2,South,SUV,1.9,Yes,12102,No,None noticed,No,Positive,No,No,3999,3,2,One-time payment,Protect engine/seals from damage,₹6-10L
R100327,Wave 1 - Jul 2026,Tier-1,South,Two-wheeler,2.3,Yes,1085,Yes,0-5%,No,Disastrous,No,No,5999,1,0,No-cost EMI (installments),Not sure / still skeptical,<₹3L
R100328,Wave 1 - Jul 2026,Tier-2,North,Two-wheeler,4.2,No,2081,Yes,10-15%,Yes,Disastrous,No,No,5999,4,8,No-cost EMI (installments),Save money long-term vs additives,<₹3L
R100329,Wave 1 - Jul 2026,Tier-1,South,SUV,1.8,Yes,12843,No,None noticed,No,Positive,Yes,No,5999,1,0,No-cost EMI (installments),Not sure / still skeptical,₹3-6L
R100330,Wave 1 - Jul 2026,Tier-2,South,Two-wheeler,3.5,No,1601,Yes,10-15%,No,Ineffective,No,No,5999,2,4,One-time payment,Not sure / still skeptical,>₹20L
R100331,Wave 2 - Jul 2026,Metro,North,Two-wheeler,12.7,No,1805,Yes,15%+,No,Ineffective,Yes,No,4499,4,5,One-time payment,Restore lost mileage,₹6-10L
R100332,Wave 1 - Jul 2026,Tier-2,West,Hatchback,4.3,No,574,Yes,10-15%,No,Ineffective,No,No,5999,2,2,No-cost EMI (installments),Environmental/fuel-quality concern,₹3-6L
R100333,Wave 1 - Jul 2026,Tier-3,West,Two-wheeler,2.5,Yes,1324,No,None noticed,No,Positive,No,No,3999,1,0,One-time payment,Environmental/fuel-quality concern,₹6-10L
R100334,Wave 1 - Jul 2026,Metro,North,Two-wheeler,11.4,No,1832,Yes,10-15%,No,Disastrous,No,No,4499,3,4,One-time payment,Protect engine/seals from damage,₹6-10L
R100335,Wave 1 - Jul 2026,Tier-2,South,Hatchback,5.7,No,5287,No,None noticed,No,Disastrous,Yes,No,3999,5,9,No-cost EMI (installments),Restore lost mileage,₹6-10L
R100336,Wave 2 - Jul 2026,Metro,East,Two-wheeler,1.5,No,922,No,None noticed,No,Positive,Yes,No,5999,3,4,No-cost EMI (installments),Protect engine/seals from damage,₹3-6L
R100337,Wave 2 - Jul 2026,Tier-2,East,Hatchback,1.7,Yes,3855,No,None noticed,No,Disastrous,No,No,3999,3,5,One-time payment,Protect engine/seals from damage,₹3-6L
R100338,Wave 2 - Jul 2026,Metro,East,Sedan,0.8,Yes,1681,No,None noticed,No,Neutral/Mixed,No,Yes,4499,2,3,No-cost EMI (installments),Restore lost mileage,₹6-10L
R100339,Wave 2 - Jul 2026,Tier-3,South,Hatchback,4.2,No,4686,Yes,10-15%,Yes,Ineffective,No,No,5999,3,5,One-time payment,Restore lost mileage,₹6-10L
R100340,Wave 1 - Jul 2026,Metro,East,Two-wheeler,0.5,Yes,662,No,None noticed,No,Neutral/Mixed,No,No,3999,2,4,One-time payment,Not sure / still skeptical,₹10-20L
R100341,Wave 2 - Jul 2026,Tier-3,South,SUV,11.4,No,10796,Yes,10-15%,Yes,Ineffective,No,Yes,3999,5,8,No-cost EMI (installments),Restore lost mileage,₹6-10L
R100342,Wave 1 - Jul 2026,Tier-2,South,Two-wheeler,2.8,No,1864,Yes,5-10%,Yes,Positive,Yes,No,3999,4,5,No-cost EMI (installments),Restore lost mileage,₹6-10L
R100343,Wave 2 - Jul 2026,Tier-2,North,Sedan,5.9,No,5030,Yes,10-15%,Yes,Disastrous,No,Yes,5999,5,10,One-time payment,Restore lost mileage,₹6-10L
R100344,Wave 2 - Jul 2026,Tier-2,South,Two-wheeler,2.6,No,1604,Yes,15%+,Yes,Ineffective,Yes,Yes,3999,5,8,No-cost EMI (installments),Restore lost mileage,₹6-10L
R100345,Wave 1 - Jul 2026,Tier-2,South,SUV,4.1,No,7702,Yes,10-15%,No,Ineffective,Yes,No,4499,4,6,Subscription (device+cartridges bundled),Restore lost mileage,₹6-10L
R100346,Wave 1 - Jul 2026,Tier-3,South,Two-wheeler,3.0,No,1495,Yes,10-15%,No,Disastrous,No,Yes,4499,5,8,No-cost EMI (installments),Environmental/fuel-quality concern,₹3-6L
R100347,Wave 1 - Jul 2026,Metro,East,Two-wheeler,3.5,Yes,950,No,None noticed,Yes,Neutral/Mixed,No,No,5999,2,1,Subscription (device+cartridges bundled),Environmental/fuel-quality concern,>₹20L
R100348,Wave 1 - Jul 2026,Tier-2,South,Hatchback,7.1,No,4932,Yes,15%+,Yes,Disastrous,Yes,No,5999,5,7,One-time payment,Restore lost mileage,₹3-6L
R100349,Wave 1 - Jul 2026,Metro,South,Two-wheeler,9.3,No,757,Yes,10-15%,Yes,Disastrous,No,Yes,3999,5,8,One-time payment,Protect engine/seals from damage,₹6-10L
R100350,Wave 2 - Jul 2026,Tier-2,North,Two-wheeler,8.9,No,683,No,None noticed,No,Positive,No,No,5999,4,8,No-cost EMI (installments),Restore lost mileage,₹6-10L
R100351,Wave 1 - Jul 2026,Metro,South,Sedan,15.0,No,5602,Yes,5-10%,Yes,Neutral/Mixed,Yes,No,5999,5,9,No-cost EMI (installments),Protect engine/seals from damage,₹10-20L
R100352,Wave 1 - Jul 2026,Tier-2,South,SUV,2.0,Yes,7715,Yes,0-5%,Yes,Disastrous,No,No,5999,5,10,No-cost EMI (installments),Environmental/fuel-quality concern,<₹3L
R100353,Wave 1 - Jul 2026,Tier-2,South,Two-wheeler,4.4,No,1507,Yes,10-15%,No,Neutral/Mixed,Yes,No,4499,2,2,One-time payment,Restore lost mileage,₹10-20L
R100354,Wave 1 - Jul 2026,Tier-1,North,SUV,2.0,Yes,6709,No,None noticed,No,Ineffective,No,No,3999,3,6,One-time payment,Restore lost mileage,₹3-6L
R100355,Wave 1 - Jul 2026,Tier-1,East,SUV,7.0,No,12530,Yes,5-10%,Yes,Disastrous,Yes,No,5999,5,9,One-time payment,Protect engine/seals from damage,₹3-6L
R100356,Wave 1 - Jul 2026,Tier-2,Central,SUV,1.5,Yes,8569,No,None noticed,No,Ineffective,No,No,4499,4,4,One-time payment,Restore lost mileage,₹10-20L
R100357,Wave 1 - Jul 2026,Tier-2,South,Sedan,7.2,Yes,6178,No,None noticed,No,Positive,No,No,3999,2,3,Subscription (device+cartridges bundled),Restore lost mileage,₹3-6L
R100358,Wave 1 - Jul 2026,Tier-1,West,Sedan,3.9,Yes,6120,Yes,0-5%,No,Disastrous,No,No,3999,5,10,One-time payment,Protect engine/seals from damage,₹6-10L
R100359,Wave 1 - Jul 2026,Tier-2,East,Hatchback,3.2,Yes,5379,No,None noticed,Yes,Disastrous,No,Yes,3999,4,6,No-cost EMI (installments),Protect engine/seals from damage,₹6-10L
R100360,Wave 1 - Jul 2026,Tier-3,Central,Sedan,3.4,No,6735,Yes,5-10%,No,Ineffective,No,No,4499,5,10,One-time payment,Restore lost mileage,>₹20L
R100361,Wave 2 - Jul 2026,Metro,West,Commercial/Fleet,1.3,Yes,20790,No,None noticed,No,Neutral/Mixed,No,No,3999,4,6,One-time payment,Save money long-term vs additives,₹10-20L
R100362,Wave 2 - Jul 2026,Metro,Central,Two-wheeler,1.4,Yes,1689,No,None noticed,No,Ineffective,Yes,No,4499,4,8,Subscription (device+cartridges bundled),Restore lost mileage,₹3-6L
R100363,Wave 1 - Jul 2026,Metro,Central,Two-wheeler,3.9,No,685,No,None noticed,Yes,Disastrous,No,No,5999,4,9,One-time payment,Restore lost mileage,₹10-20L
R100364,Wave 2 - Jul 2026,Tier-2,East,Two-wheeler,3.9,No,700,Yes,5-10%,Yes,Ineffective,No,No,3999,5,9,One-time payment,Protect engine/seals from damage,₹3-6L
R100365,Wave 2 - Jul 2026,Tier-1,South,Commercial/Fleet,2.1,Yes,18106,No,None noticed,No,Neutral/Mixed,No,No,3999,5,9,No-cost EMI (installments),Protect engine/seals from damage,₹6-10L
R100366,Wave 1 - Jul 2026,Tier-2,North,Two-wheeler,2.7,No,1323,Yes,10-15%,No,Neutral/Mixed,No,No,3999,3,4,One-time payment,Save money long-term vs additives,₹10-20L
R100367,Wave 1 - Jul 2026,Tier-2,North,Sedan,4.6,No,6742,Yes,10-15%,No,Disastrous,No,Yes,4499,5,10,One-time payment,Protect engine/seals from damage,₹10-20L
R100368,Wave 1 - Jul 2026,Tier-1,South,SUV,1.8,Yes,8246,No,None noticed,No,Neutral/Mixed,No,No,5999,4,7,Subscription (device+cartridges bundled),Protect engine/seals from damage,₹6-10L
R100369,Wave 1 - Jul 2026,Tier-3,South,Commercial/Fleet,0.7,No,21514,No,None noticed,No,Positive,No,No,4499,4,10,One-time payment,Environmental/fuel-quality concern,₹10-20L
R100370,Wave 2 - Jul 2026,Tier-2,South,Two-wheeler,8.4,No,912,No,None noticed,No,Ineffective,Yes,No,5999,3,5,No-cost EMI (installments),Save money long-term vs additives,₹6-10L
R100371,Wave 2 - Jul 2026,Metro,West,SUV,4.1,No,8175,Yes,15%+,No,Disastrous,Yes,Yes,5999,4,6,One-time payment,Protect engine/seals from damage,>₹20L
R100372,Wave 1 - Jul 2026,Tier-1,West,SUV,2.3,Yes,5121,No,None noticed,No,Neutral/Mixed,No,No,3999,1,0,One-time payment,Not sure / still skeptical,₹3-6L
R100373,Wave 1 - Jul 2026,Tier-1,East,Two-wheeler,2.0,Yes,1552,No,None noticed,No,Neutral/Mixed,Yes,No,5999,1,0,No-cost EMI (installments),Save money long-term vs additives,₹3-6L
R100374,Wave 2 - Jul 2026,Metro,North,Sedan,1.8,Yes,2750,No,None noticed,Yes,Disastrous,Yes,Yes,4499,4,4,No-cost EMI (installments),Save money long-term vs additives,₹10-20L
R100375,Wave 1 - Jul 2026,Metro,North,Two-wheeler,6.9,No,1537,Yes,10-15%,Yes,Positive,No,Yes,4499,5,9,One-time payment,Restore lost mileage,₹3-6L
R100376,Wave 1 - Jul 2026,Tier-3,East,Hatchback,1.1,Yes,2472,No,None noticed,No,Neutral/Mixed,No,No,3999,3,4,No-cost EMI (installments),Protect engine/seals from damage,₹6-10L
R100377,Wave 1 - Jul 2026,Tier-1,East,Hatchback,4.4,No,3749,Yes,15%+,No,Ineffective,No,No,4499,5,10,No-cost EMI (installments),Protect engine/seals from damage,₹10-20L
R100378,Wave 2 - Jul 2026,Tier-1,Central,Two-wheeler,4.4,No,1751,Yes,10-15%,Yes,Disastrous,No,No,5999,5,10,No-cost EMI (installments),Protect engine/seals from damage,₹6-10L
R100379,Wave 2 - Jul 2026,Tier-2,East,Two-wheeler,5.5,No,1489,Yes,10-15%,No,Ineffective,No,No,4499,3,5,No-cost EMI (installments),Restore lost mileage,₹3-6L
R100380,Wave 2 - Jul 2026,Tier-2,Central,Two-wheeler,2.5,Yes,755,Yes,0-5%,No,Ineffective,Yes,No,3999,5,7,No-cost EMI (installments),Restore lost mileage,₹3-6L
R100381,Wave 2 - Jul 2026,Tier-3,South,Two-wheeler,8.0,No,1136,Yes,15%+,Yes,Neutral/Mixed,No,No,3999,5,8,No-cost EMI (installments),Save money long-term vs additives,₹3-6L
R100382,Wave 1 - Jul 2026,Tier-2,South,Hatchback,5.6,No,2434,Yes,15%+,Yes,Disastrous,No,No,4499,5,10,One-time payment,Not sure / still skeptical,₹3-6L
R100383,Wave 1 - Jul 2026,Tier-1,South,Two-wheeler,2.5,Yes,736,No,None noticed,No,Positive,No,No,5999,2,2,Subscription (device+cartridges bundled),Environmental/fuel-quality concern,₹3-6L
R100384,Wave 2 - Jul 2026,Tier-1,West,Two-wheeler,1.9,No,1446,No,None noticed,No,Ineffective,No,Yes,4499,3,7,No-cost EMI (installments),Restore lost mileage,₹10-20L
R100385,Wave 2 - Jul 2026,Tier-3,Central,Sedan,3.0,Yes,6710,No,None noticed,No,Neutral/Mixed,No,No,3999,2,4,Subscription (device+cartridges bundled),Save money long-term vs additives,₹3-6L
R100386,Wave 1 - Jul 2026,Tier-2,South,Sedan,2.4,Yes,6516,No,None noticed,No,Positive,No,No,3999,2,4,Subscription (device+cartridges bundled),Environmental/fuel-quality concern,₹10-20L
R100387,Wave 1 - Jul 2026,Tier-3,West,Hatchback,1.7,Yes,4909,No,None noticed,No,Neutral/Mixed,No,No,5999,3,4,One-time payment,Restore lost mileage,>₹20L
R100388,Wave 2 - Jul 2026,Metro,South,Commercial/Fleet,3.5,No,18438,Yes,10-15%,Yes,Ineffective,No,No,5999,5,10,No-cost EMI (installments),Save money long-term vs additives,₹3-6L
R100389,Wave 1 - Jul 2026,Tier-3,North,Two-wheeler,2.8,No,1293,Yes,10-15%,No,Neutral/Mixed,No,No,3999,4,6,One-time payment,Protect engine/seals from damage,>₹20L
R100390,Wave 1 - Jul 2026,Tier-2,North,SUV,9.1,No,5736,Yes,10-15%,Yes,Neutral/Mixed,Yes,No,4499,5,10,No-cost EMI (installments),Restore lost mileage,₹3-6L
R100391,Wave 1 - Jul 2026,Metro,North,Two-wheeler,2.4,Yes,1227,Yes,0-5%,No,Disastrous,Yes,No,4499,3,4,No-cost EMI (installments),Protect engine/seals from damage,₹6-10L
R100392,Wave 1 - Jul 2026,Tier-2,Central,Sedan,1.9,No,3654,No,None noticed,No,Ineffective,No,No,4499,5,7,One-time payment,Restore lost mileage,>₹20L
R100393,Wave 2 - Jul 2026,Tier-2,South,Commercial/Fleet,3.4,Yes,14122,Yes,0-5%,No,Ineffective,No,No,3999,5,10,No-cost EMI (installments),Protect engine/seals from damage,₹10-20L
R100394,Wave 2 - Jul 2026,Metro,East,SUV,4.0,No,8404,Yes,10-15%,No,Positive,No,No,4499,5,10,Subscription (device+cartridges bundled),Protect engine/seals from damage,₹3-6L
R100395,Wave 1 - Jul 2026,Tier-1,West,Hatchback,4.2,No,4061,Yes,10-15%,No,Ineffective,Yes,No,5999,1,0,Subscription (device+cartridges bundled),Environmental/fuel-quality concern,₹3-6L
R100396,Wave 1 - Jul 2026,Tier-3,North,Hatchback,4.2,No,7804,Yes,10-15%,Yes,Disastrous,No,No,4499,5,10,One-time payment,Protect engine/seals from damage,₹3-6L
R100397,Wave 1 - Jul 2026,Tier-1,North,Two-wheeler,3.4,Yes,872,Yes,0-5%,Yes,Disastrous,No,No,3999,5,7,Subscription (device+cartridges bundled),Restore lost mileage,>₹20L
R100398,Wave 1 - Jul 2026,Tier-1,East,Sedan,3.3,No,5597,Yes,15%+,Yes,Disastrous,Yes,No,3999,5,8,One-time payment,Protect engine/seals from damage,₹3-6L
R100399,Wave 1 - Jul 2026,Tier-1,South,Sedan,5.0,No,3488,Yes,10-15%,No,Disastrous,No,No,3999,4,7,One-time payment,Environmental/fuel-quality concern,₹6-10L
R100400,Wave 1 - Jul 2026,Tier-1,Central,Commercial/Fleet,1.6,Yes,16491,No,None noticed,No,Ineffective,Yes,No,5999,4,6,One-time payment,Protect engine/seals from damage,₹3-6L
R100401,Wave 2 - Jul 2026,Tier-3,North,Hatchback,1.9,Yes,3792,No,None noticed,No,Disastrous,No,No,5999,3,4,No-cost EMI (installments),Protect engine/seals from damage,₹3-6L
R100402,Wave 2 - Jul 2026,Tier-2,West,Two-wheeler,0.9,Yes,1731,No,None noticed,No,Positive,No,Yes,3999,1,0,One-time payment,Not sure / still skeptical,₹6-10L
R100403,Wave 1 - Jul 2026,Metro,East,Hatchback,1.6,Yes,3671,Yes,10-15%,No,Disastrous,Yes,No,5999,3,4,One-time payment,Protect engine/seals from damage,₹3-6L
R100404,Wave 2 - Jul 2026,Tier-3,North,Two-wheeler,6.5,No,1325,Yes,10-15%,No,Disastrous,Yes,No,3999,5,9,One-time payment,Restore lost mileage,₹6-10L
R100405,Wave 2 - Jul 2026,Tier-3,South,Two-wheeler,4.9,No,1231,No,None noticed,Yes,Ineffective,No,No,4499,5,10,Subscription (device+cartridges bundled),Save money long-term vs additives,₹6-10L
R100406,Wave 1 - Jul 2026,Tier-1,Central,Two-wheeler,9.9,No,851,No,None noticed,Yes,Ineffective,Yes,No,5999,4,6,No-cost EMI (installments),Protect engine/seals from damage,₹6-10L
R100407,Wave 2 - Jul 2026,Tier-3,South,Sedan,8.5,No,4741,Yes,10-15%,No,Disastrous,Yes,No,4499,5,9,No-cost EMI (installments),Environmental/fuel-quality concern,₹6-10L
R100408,Wave 1 - Jul 2026,Metro,South,Two-wheeler,4.9,No,1250,Yes,5-10%,Yes,Disastrous,No,No,4499,5,8,No-cost EMI (installments),Protect engine/seals from damage,₹3-6L
R100409,Wave 1 - Jul 2026,Tier-3,South,Two-wheeler,3.7,Yes,1429,No,None noticed,No,Disastrous,Yes,No,4499,5,8,One-time payment,Protect engine/seals from damage,₹10-20L
R100410,Wave 1 - Jul 2026,Tier-2,South,Two-wheeler,3.4,No,1619,Yes,10-15%,Yes,Ineffective,No,Yes,3999,3,6,One-time payment,Restore lost mileage,₹6-10L
R100411,Wave 1 - Jul 2026,Tier-2,East,SUV,0.5,Yes,7661,No,None noticed,No,Ineffective,No,No,5999,5,10,One-time payment,Restore lost mileage,₹6-10L
R100412,Wave 2 - Jul 2026,Metro,East,Sedan,3.2,No,5390,Yes,15%+,No,Disastrous,Yes,No,3999,5,10,One-time payment,Protect engine/seals from damage,₹3-6L
R100413,Wave 2 - Jul 2026,Tier-3,South,Two-wheeler,2.2,Yes,725,No,None noticed,No,Ineffective,No,Yes,3999,3,5,Subscription (device+cartridges bundled),Restore lost mileage,<₹3L
R100414,Wave 1 - Jul 2026,Metro,East,Two-wheeler,1.6,Yes,1612,Yes,0-5%,Yes,Disastrous,Yes,No,5999,5,8,One-time payment,Protect engine/seals from damage,₹10-20L
R100415,Wave 1 - Jul 2026,Metro,North,Hatchback,4.4,No,3382,Yes,10-15%,Yes,Disastrous,No,No,4499,5,9,No-cost EMI (installments),Restore lost mileage,₹10-20L
R100416,Wave 2 - Jul 2026,Metro,North,Two-wheeler,2.9,No,1693,No,None noticed,Yes,Ineffective,No,No,4499,3,6,No-cost EMI (installments),Restore lost mileage,₹3-6L
R100417,Wave 2 - Jul 2026,Tier-2,West,Hatchback,3.6,No,5748,Yes,10-15%,Yes,Disastrous,No,No,3999,5,6,Subscription (device+cartridges bundled),Protect engine/seals from damage,₹3-6L
R100418,Wave 2 - Jul 2026,Metro,Central,Two-wheeler,1.4,Yes,1326,No,None noticed,No,Disastrous,Yes,Yes,3999,3,4,One-time payment,Save money long-term vs additives,₹3-6L
R100419,Wave 1 - Jul 2026,Tier-3,North,Commercial/Fleet,5.8,No,13199,Yes,10-15%,No,Neutral/Mixed,No,No,3999,5,10,Subscription (device+cartridges bundled),Restore lost mileage,₹6-10L
R100420,Wave 1 - Jul 2026,Tier-2,North,Two-wheeler,2.4,No,1393,Yes,5-10%,No,Disastrous,No,No,4499,5,8,No-cost EMI (installments),Save money long-term vs additives,₹3-6L
R100421,Wave 1 - Jul 2026,Metro,West,Sedan,4.3,No,6366,No,None noticed,Yes,Disastrous,No,No,4499,5,10,No-cost EMI (installments),Restore lost mileage,>₹20L
R100422,Wave 2 - Jul 2026,Metro,East,Two-wheeler,2.5,Yes,1276,Yes,0-5%,Yes,Disastrous,No,No,4499,5,10,No-cost EMI (installments),Restore lost mileage,<₹3L
R100423,Wave 2 - Jul 2026,Metro,North,Commercial/Fleet,0.4,No,15578,No,None noticed,No,Ineffective,No,No,5999,2,0,One-time payment,Not sure / still skeptical,>₹20L
R100424,Wave 2 - Jul 2026,Tier-2,South,Commercial/Fleet,4.5,No,21419,Yes,10-15%,Yes,Ineffective,Yes,No,5999,5,9,No-cost EMI (installments),Save money long-term vs additives,<₹3L
R100425,Wave 1 - Jul 2026,Tier-2,East,Sedan,3.0,No,6608,Yes,10-15%,No,Disastrous,Yes,No,3999,4,6,No-cost EMI (installments),Protect engine/seals from damage,₹3-6L
R100426,Wave 2 - Jul 2026,Metro,South,Hatchback,0.8,Yes,3793,Yes,5-10%,No,Ineffective,No,No,5999,3,5,No-cost EMI (installments),Protect engine/seals from damage,₹3-6L
R100427,Wave 2 - Jul 2026,Tier-3,North,Two-wheeler,1.3,Yes,752,No,None noticed,Yes,Positive,No,Yes,5999,2,3,Subscription (device+cartridges bundled),Not sure / still skeptical,₹3-6L
R100428,Wave 2 - Jul 2026,Metro,North,SUV,5.9,No,9248,Yes,10-15%,No,Disastrous,Yes,Yes,5999,5,10,No-cost EMI (installments),Protect engine/seals from damage,>₹20L
R100429,Wave 2 - Jul 2026,Tier-2,South,Sedan,0.9,Yes,4554,No,None noticed,No,Ineffective,No,No,5999,1,0,One-time payment,Protect engine/seals from damage,₹6-10L
R100430,Wave 1 - Jul 2026,Tier-3,South,Two-wheeler,2.3,Yes,1484,No,None noticed,No,Neutral/Mixed,No,No,3999,1,0,One-time payment,Protect engine/seals from damage,<₹3L
R100431,Wave 1 - Jul 2026,Tier-2,East,Two-wheeler,10.5,No,1459,Yes,5-10%,Yes,Positive,No,No,3999,3,3,No-cost EMI (installments),Restore lost mileage,>₹20L
R100432,Wave 1 - Jul 2026,Tier-2,West,Hatchback,4.6,No,1979,Yes,10-15%,No,Disastrous,No,Yes,5999,5,9,No-cost EMI (installments),Save money long-term vs additives,₹3-6L
R100433,Wave 1 - Jul 2026,Tier-3,West,SUV,5.4,No,8386,Yes,10-15%,Yes,Ineffective,No,No,4499,5,8,Subscription (device+cartridges bundled),Protect engine/seals from damage,<₹3L
R100434,Wave 1 - Jul 2026,Metro,Central,Sedan,2.7,No,6636,Yes,10-15%,No,Disastrous,No,No,5999,3,6,No-cost EMI (installments),Protect engine/seals from damage,<₹3L
R100435,Wave 2 - Jul 2026,Metro,South,Hatchback,0.8,No,4949,No,None noticed,No,Neutral/Mixed,No,No,5999,3,5,No-cost EMI (installments),Restore lost mileage,₹6-10L
R100436,Wave 1 - Jul 2026,Metro,South,Hatchback,3.8,No,4338,Yes,15%+,Yes,Disastrous,No,Yes,3999,5,10,No-cost EMI (installments),Restore lost mileage,₹10-20L
R100437,Wave 1 - Jul 2026,Tier-1,Central,Two-wheeler,1.4,Yes,625,No,None noticed,No,Neutral/Mixed,No,Yes,4499,1,2,No-cost EMI (installments),Not sure / still skeptical,<₹3L
R100438,Wave 1 - Jul 2026,Tier-2,South,Two-wheeler,1.3,Yes,1901,No,None noticed,No,Disastrous,No,No,5999,1,0,No-cost EMI (installments),Not sure / still skeptical,₹10-20L
R100439,Wave 2 - Jul 2026,Tier-2,West,Two-wheeler,3.5,No,1561,Yes,15%+,Yes,Disastrous,No,No,3999,4,6,One-time payment,Protect engine/seals from damage,₹3-6L
R100440,Wave 2 - Jul 2026,Tier-3,East,SUV,1.5,No,5437,No,None noticed,No,Ineffective,Yes,Yes,5999,2,2,Subscription (device+cartridges bundled),Not sure / still skeptical,₹3-6L
R100441,Wave 1 - Jul 2026,Metro,North,Two-wheeler,3.2,Yes,1091,Yes,0-5%,Yes,Ineffective,No,No,5999,5,7,No-cost EMI (installments),Restore lost mileage,₹10-20L
R100442,Wave 2 - Jul 2026,Tier-2,South,Two-wheeler,2.0,Yes,1491,Yes,0-5%,No,Ineffective,No,No,3999,4,5,One-time payment,Protect engine/seals from damage,₹10-20L
R100443,Wave 2 - Jul 2026,Metro,North,Two-wheeler,3.2,No,1666,Yes,15%+,No,Neutral/Mixed,No,No,3999,2,3,One-time payment,Save money long-term vs additives,₹6-10L
R100444,Wave 2 - Jul 2026,Metro,North,Two-wheeler,2.2,Yes,1209,No,None noticed,No,Positive,No,No,4499,2,0,One-time payment,Restore lost mileage,₹3-6L
